bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-0001_T1w	0.4655467649507451	2.868269813687096	0.48420191041741295	1098.994873046875	3.4020333333333337	3.51887	3.46164	3.22559	0.18723329154778937	0.41279011249914316	0.3999765959530675	1.9100173711776733	0.6772964477539063	0.0	0.007436111305909825	34.56994505919678	16.513215355966377	20.56656872055369	240	256	256	2.837931095841262	10.751917686104422	10.410609519502268	17.641979776561122	25.0209759761861	47.86292084285451	45.817241492213384	64.56782765759954	1.0	1.0	1.0	2.1426127822607013	10.146533966064453	19.985445022583008	16.914567947387695	5653671.0	3.3697562217712402	43.990089416503906	13.041955947875977	20.731870358963462	131.94508361816406	411.2660827636719	387.51654052734375	13954.0	236.4208923339844	626.7181945800779	136.5440673828125	0.13624083198657466	66.75275421142578	745.232177734375	741.2849731445312	20082.0	637.5380004882812	865.7728698730468	68.9427261352539	0.3267888800936758	53.693519592285156	998.3212280273438	1000.0050048828125	250384.0	900.9854431152344	1088.9275939941406	56.68315124511719	0.21932534873485565	0.49230054020881653	0.5470463037490845	0.5972461533116056
sub-0002_T1w	0.3850728608308604	3.411949966663442	0.45280550680499926	1082.607421875	3.41517	3.51386	3.44387	3.28778	0.18825165307374125	0.42670478536114953	0.3850435615651092	1.8793158531188965	0.5993945181369782	0.0	0.006685532315495278	39.43348048256886	18.68741276114647	24.372017064702888	240	256	256	3.015094347711674	11.428467509903175	11.018889748289268	18.613107387252953	28.857902370880183	51.5280238842674	50.79659949950072	72.00387224335459	1.0	1.0	1.0	2.3145341169416493	9.098587036132812	17.714353561401367	15.173990249633789	5443230.0	3.026189088821411	39.538299560546875	11.802279472351074	16.003517817340583	136.00758361816406	408.2181091308594	400.7808837890625	14804.0	226.79664611816406	598.6667449951169	132.9203338623047	0.290862581485265	59.819618225097656	715.7177734375	715.6253662109375	17147.0	610.7369262695313	819.4483825683593	62.615962982177734	0.5372158439964578	49.68364334106445	997.4642333984375	999.99560546875	202979.0	902.8481384277344	1081.1264404296874	53.72521209716797	0.2263610064983368	0.5142634510993958	0.5544928312301636	0.6338098768302072
sub-0003_T1w	0.41261920727331947	3.2509773405960245	0.4739729431616584	1242.2091064453125	3.4412866666666666	3.58156	3.47847	3.26383	0.19559465227120562	0.40805174092936825	0.39635360679942616	1.751863956451416	0.5382338285446167	0.0	0.005672020312263812	33.92125599987854	17.068456848647653	21.1225758621295	240	256	256	3.1091844712069943	11.463607054842	11.166044464323774	18.925341866922324	29.27305318519196	54.036778536978225	52.48967316733029	74.15918777982067	1.0	1.0	1.0	2.3448214052689416	8.83413314819336	17.500017166137695	14.698851585388184	5364045.0	2.927372455596924	38.97574691772461	11.58981704711914	23.354058012910315	116.64627075195312	406.23162841796875	394.7301025390625	21388.0	228.86457901000978	599.3838409423827	126.95318603515625	0.17167664778836222	61.57835006713867	728.493896484375	728.654541015625	17594.0	624.5022766113282	834.2931243896485	63.56060791015625	0.3424662958287952	50.38132858276367	998.7290649414062	999.9935302734375	259559.0	909.0578002929688	1083.462805175781	52.83876037597656	0.2246931493282318	0.49458926916122437	0.5562856793403625	0.5721136477532998
sub-0004_T1w	0.4046030329694503	3.274421286266756	0.49578024683046495	1002.2557983398438	3.44082	3.49774	3.54943	3.27529	0.1875681860494115	0.4226227336366053	0.3898090803139832	1.800870656967163	0.6221813976764676	0.0	0.006155288506672502	33.11101651301536	15.920905968670905	20.386970921893337	240	256	256	3.4573852605782482	11.873673127369614	10.89646105604299	17.358324780181103	22.225199310836153	48.299677640594695	45.79057971275296	66.84686218682802	1.0	1.0	1.0	1.8250306685455513	9.800568580627441	19.538536071777344	16.240753173828125	4897865.0	3.22365140914917	42.62504196166992	12.582308769226074	2.558873909905407	77.6935043334961	352.54229736328125	332.4797668457031	24642.0	235.38331756591796	539.5084197998045	96.16313934326172	0.18970479453821465	58.74005889892578	721.8847045898438	722.5431518554688	26077.0	620.9626098632813	821.5113281249997	60.85137176513672	0.4851925950742979	53.52036666870117	996.728515625	1000.0013427734375	265641.0	894.4439697265625	1085.6610107421875	57.609214782714844	0.2543671131134033	0.5150051712989807	0.5647885203361511	0.6002342621129564
sub-0005_T1w	0.45777396954510746	2.9223287301935255	0.48804146479525606	977.7138671875	3.330883333333334	3.46487	3.34446	3.18332	0.19223749267263793	0.4184820983423815	0.3892804089849806	1.8254655599594116	0.6015640735626218	0.0	0.0061367135867244306	35.619565835926316	17.409708218836432	21.940547097968544	240	256	256	2.869965362177495	11.343640979628711	10.898493076882056	18.481872888839963	24.243505070399284	47.96804704203591	45.45393773700209	64.15026109857108	1.0	1.0	1.0	2.128933405497218	10.21250057220459	20.519611358642578	16.86374282836914	5101937.0	3.341659736633301	46.41667861938477	13.365503311157227	14.863034948389608	122.06776428222656	403.5195617675781	377.91644287109375	25704.0	241.38080749511718	617.1263305664062	131.67723083496094	0.04973629757364906	64.16181945800781	748.2824096679688	747.7431030273438	20005.0	640.4269775390625	859.3174804687501	65.91573333740234	0.3566615873507475	51.31356430053711	997.6710815429688	999.9972534179688	245047.0	903.7622619628905	1082.5385131835938	54.1068115234375	0.2391568124294281	0.49940645694732666	0.5510234236717224	0.5649562507668949
sub-0006_T1w	0.37630154726186893	3.5658958718368763	0.41097685859822847	2336.656982421875	3.4772999551057833	3.3893998653173503	3.62114	3.42136	0.19528738194468723	0.4012349437406806	0.4034776743146322	1.9766113758087158	0.5426969766616818	0.0	0.007673608932986256	48.342223909199475	24.338776993452637	29.42391353341096	240	256	256	3.4266325269446747	11.533451693176053	12.263015251816158	21.828961535327746	25.814736531947105	56.58819393513271	53.60839615737108	78.42225800503343	1.2000000476837158	1.0	1.0	2.8270079881699317	8.35389232635498	12.924419403076172	11.286012649536133	6050269.0	2.8054138183593746	30.875793457031246	9.140045166015625	5.577162831081425	79.11235809326172	350.7162780761719	329.1734924316406	19040.0	234.66106491088868	533.5994720458984	96.06073760986328	0.14122484324011575	60.81709671020508	723.348388671875	721.5775146484375	11593.0	622.0129760742188	829.2219482421874	62.56118392944336	0.3141970100821725	43.95068359375	998.1109619140625	999.991943359375	180368.0	919.2067810058595	1069.9310302734375	45.810203552246094	0.2460927814245224	0.49416205286979675	0.5615179538726807	0.6519822408281434
sub-0007_T1w	0.4774768244626545	2.8081940850685734	0.48543270474674693	1190.0821533203125	3.3027166666666665	3.39427	3.39226	3.12162	0.182395918468435	0.4226423389274959	0.3949617426040691	1.8338874578475952	0.6352127254009243	0.0	0.005609815863688133	35.67648091648311	16.515319089305088	20.71410707307542	240	256	256	2.891989370774349	10.855055698387453	10.712637572582176	18.390867648584724	22.632442164997126	47.38677095648209	44.39404132713711	63.162910859932126	1.0	1.0	1.0	1.9655760855223328	10.372244834899902	20.565460205078125	17.235305786132812	5600323.0	3.4280276775360106	44.9721279144287	13.337225914001465	4.75492118032312	114.73170471191406	390.48193359375	358.3211669921875	24256.0	238.05818557739258	605.9876098632812	123.89871978759766	0.01424460351251744	67.14412689208984	750.9034423828125	750.2364501953125	15059.0	636.9370788574219	867.2491821289062	69.1117172241211	0.3203537667191534	52.11567687988281	998.7324829101562	1000.00732421875	249799.0	906.480877685547	1085.5194702148438	54.37510299682617	0.24923773109912872	0.5076257586479187	0.5609992742538452	0.5886777530074414
sub-0008_T1w	0.46667916648790025	2.9099403216688784	0.5157472779476008	753.9808959960938	3.38015	3.51976	3.38988	3.23081	0.2069775496082613	0.40661968848650265	0.386402761905236	1.6522513628005981	0.4692046999931334	0.0	0.004272580795232195	36.60136024828741	18.945071538164843	23.62319131590072	240	256	256	3.446256929981835	11.346508866155753	10.715643228392665	17.354163889040407	15.145945302236788	32.073796919027586	30.138658305714475	43.196232695879054	1.0	1.0	1.0	2.3797740860771945	15.166776657104492	23.312692642211914	20.625640869140625	4067883.0	3.4439189434051514	51.55335388183593	15.0712308883667	2.458463883052726	83.49817657470703	368.0471496582031	350.6371765136719	27035.0	236.4602310180664	560.7966064453125	101.74246978759766	0.04276386046181724	64.5587158203125	742.4421997070312	742.5264892578125	14147.0	634.2540588378906	851.26689453125	65.43865203857422	0.22543631916867435	55.6068115234375	999.0160522460938	1000.0171508789062	215148.0	902.0969116210938	1092.1309753417968	57.6239128112793	0.22617430984973907	0.48626548051834106	0.553543746471405	0.5188826300353475
sub-0009_T1w	0.4412462750941462	3.038759957773515	0.5187950633283137	732.5416259765625	3.393686666666667	3.4781	3.50388	3.19908	0.20197732283508624	0.39645703224559914	0.4015656449193147	1.658263921737671	0.471120798587799	0.0	0.00552108912241323	37.72718222162226	19.482474851032794	23.254344915315947	240	256	256	3.3198514855158843	10.248890480922059	10.52042045353354	17.992519394162674	20.321082024378168	44.29332027258429	41.935610396309976	61.19242889196746	1.0	1.0	1.0	2.0471709057692955	10.706048965454102	21.013282775878906	17.441787719726562	3834062.0	3.4203765392303467	46.276622772216776	13.516019821166992	4.28370574948442	83.55477905273438	350.28680419921875	332.08123779296875	29042.0	223.66271743774413	541.6284515380855	100.0272216796875	0.07951596954410212	67.98623657226562	725.3018188476562	723.82861328125	11255.0	611.2810485839843	845.6292419433594	70.62193298339844	0.21620854591949001	53.86848449707031	998.9181518554688	999.9889526367188	223645.0	905.4561645507812	1088.9878662109375	55.57791519165039	0.2370518445968628	0.4814509153366089	0.5560643672943115	0.5248142644661961
sub-0010_T1w	0.4720298032217832	2.8321838218869697	0.49518737751772535	964.0372924804688	3.33333	3.43728	3.43639	3.12632	0.19373823708383722	0.4237323374903144	0.3825294254258484	1.868780255317688	0.6567679345607758	0.0	0.005848728335771186	30.298301504713738	14.793332781253659	19.123449419893422	240	256	256	2.071736016038037	10.760066384560027	10.166421086764789	17.667460859696302	14.909365329798645	33.45912204935642	31.1170958316301	44.98280011573524	1.0	1.0	1.0	1.9694822620490804	14.564560890197754	22.077789306640625	19.857847213745117	5529249.0	3.319301128387451	49.15133514404296	14.129705429077148	50.73727384354582	91.97160339355469	371.3532409667969	331.4552001953125	34428.0	223.71685867309571	602.940573120117	159.98678588867188	0.20616001342737222	66.53575134277344	746.2939453125	743.8411865234375	20544.0	634.9077514648437	864.7315673828125	69.12811279296875	0.2676833952449007	54.392066955566406	998.8333129882812	1000.0280151367188	282259.0	902.8710815429688	1089.7958129882813	56.60271453857422	0.23539678752422333	0.49106666445732117	0.5412797331809998	0.5474163984923011
sub-0011_T1w	0.4595236180408357	2.90912504058678	0.4879709985491198	893.4993896484375	3.2803	3.41708	3.33871	3.08511	0.20326830434142254	0.42761940735751286	0.36911228830106463	1.8239390850067139	0.6207902669906615	0.0	0.004712252816078782	38.11813036956225	18.93609189365952	25.25494499465035	240	256	256	3.3833938021713528	10.88366715731425	10.188493411071617	16.29841927372925	21.112139065050837	45.11177541073952	42.62513294853059	61.65148436980143	1.0	1.0	1.0	3.4262225341927026	10.626588821411133	21.67409324645996	17.44617462158203	5377446.0	3.4548518657684326	48.9610652923584	14.8399658203125	3.2146184186986773	86.7311019897461	361.7460632324219	342.44781494140625	24573.0	233.82920532226564	553.294787597656	101.21223449707031	0.1856562800616368	65.15386962890625	732.4954833984375	731.7320556640625	12925.0	621.9263305664062	842.2624145507812	67.22952270507812	0.42077249513145665	58.12761688232422	997.2966918945312	1000.0131225585938	187761.0	890.625244140625	1092.78662109375	61.356285095214844	0.2543419599533081	0.5112223625183105	0.5602589249610901	0.5255463625946474
